id	name	description
pfr12	Jeffrey Alexander Frankel	National Bureau of Economic Research (NBER); Harvard University -> Kennedy School of Government -> Center for International Development; Harvard University -> Kennedy School of Government; Harvard University -> Kennedy School of Government -> Mossavar-Rahmani Center for Business and Government (rank: 44, publications: 505)
pde30	Angus Deaton	Princeton University -> Department of Economics (rank: 45, publications: 265)
pal207	Alberto Alesina	Harvard University -> Department of Economics; Bocconi University -> Innocenzo Gasparini Institute for Economic Research (IGIER) (rank: 46, publications: 231)
ppo19	James Poterba	National Bureau of Economic Research (NBER); Massachusetts Institute of Technology (MIT) -> Economics Department (rank: 47, publications: 291)
pfr33	Kenneth French	National Bureau of Economic Research (NBER); Dartmouth College -> Economics Department (rank: 48, publications: 58)
pbe46	Timothy Besley	London School of Economics (LSE) -> Economics Department; London School of Economics (LSE) -> Suntory and Toyota International Centres for Economics and Related Disciplines (STICERD); Canadian Institute for Advanced Research (CIFAR) -> Program in Institutions, Organizations and Growth (rank: 49, publications: 307)
pfr6	Bruno S. Frey	Center for Research in Economics, Management and the Arts (CREMA); University of Basel -> Faculty of Business and Economics (rank: 50, publications: 587)
pgl9	Edward Ludwig Glaeser	National Bureau of Economic Research (NBER); Harvard University -> Department of Economics; Harvard University -> Kennedy School of Government (rank: 51, publications: 210)
pan30	Donald W. K. Andrews	Yale University -> Cowles Foundation for Research in Economics; Yale University -> Economics Department (rank: 52, publications: 194)
pka266	Lawrence F. Katz	National Bureau of Economic Research (NBER); Harvard University -> Department of Economics (rank: 53, publications: 195)
pro60	Dani Rodrik	National Bureau of Economic Research (NBER); Centre for Economic Policy Research (CEPR); Harvard University -> Kennedy School of Government (rank: 54, publications: 271)
pfr23	Richard B. Freeman	National Bureau of Economic Research (NBER); Maastricht University -> Research Centre for Education and the Labour Market; London School of Economics (LSE) -> Centre for Economic Performance (CEP); Harvard University -> Department of Economics -> Harvard Institute of Economic Research (HIER) (rank: 56, publications: 361)
pst226	René M. Stulz	Ohio State University -> Fisher College of Business -> Department of Finance (rank: 57, publications: 273)
pan29	Joshua Angrist	National Bureau of Economic Research (NBER); Massachusetts Institute of Technology (MIT) -> Economics Department (rank: 59, publications: 205)
psv2	Lars E.O. Svensson	Stockholm University -> Institute for International Economic Studies (IIES); Stockholm School of Economics (rank: 61, publications: 363)
plo137	Florencio Lopez-de-Silanes	National Bureau of Economic Research (NBER); SKEMA Business School (rank: 62, publications: 164)
pdi24	Peter A. Diamond	Massachusetts Institute of Technology (MIT) -> Economics Department (rank: 63, publications: 196)
pra29	Martin Ravallion	Georgetown University -> Economics Department (rank: 64, publications: 388)
psi12	Christopher Sims	Princeton University -> Department of Economics (rank: 65, publications: 120)
pfu49	Drew Fudenberg	Harvard University -> Department of Economics (rank: 66, publications: 310)
pbo66	Tim Bollerslev	National Bureau of Economic Research (NBER); University of Aarhus -> Department of Economics and Business -> Center for Research in Econometric Analysis of Time Series (CREATES); Duke University -> Department of Economics (rank: 67, publications: 168)
pth14	Jacques Thisse	Government of Japan -> Japan External Trade Organization (JETRO) -> Institute of Developing Economies; Catholic University of Louvain-la-Neuve -> Economics School of Louvain -> Center for Operations Research and Econometrics (CORE); National Research University Higher School of Economics -> Saint Petersburg Branch -> Center for Market Studies and Spatial Economics (rank: 68, publications: 683)
pti17	Clement Tisdell	University of Queensland -> School of Economics; University of Queensland -> School of Economics -> Risk and Sustainable Management Group (RSMG); University of Queensland -> School of Economics -> Centre for Efficiency and Productivity Analysis (CEPA) (rank: 70, publications: 599)
pla273	Rafael La Porta	National Bureau of Economic Research (NBER); Brown University -> Economics Department; Dartmouth College -> Tuck School of Business (rank: 71, publications: 117)
pei4	Martin Eichenbaum	National Bureau of Economic Research (NBER); Federal Reserve Bank of Chicago -> Economic Research Department; Northwestern University -> Department of Economics (rank: 72, publications: 228)
pwa582	Mark W. Watson	Princeton University -> Department of Economics (rank: 73, publications: 149)
pha303	Lars Peter Hansen	University of Chicago -> Department of Economics (rank: 74, publications: 140)
pga43	Jordi Gali	Barcelona Graduate School of Economics (Barcelona GSE); Barcelona Graduate School of Economics (Barcelona GSE) -> Pompeu Fabra University -> Department of Economics and Business; Barcelona Graduate School of Economics (Barcelona GSE) -> Center for Research in International Economics (CREI) (rank: 75, publications: 183)
pme203	robert c. merton	Massachusetts Institute of Technology (MIT) -> Sloan School of Management (rank: 76, publications: 84)
pch45	Lawrence Christiano	Northwestern University -> Department of Economics (rank: 77, publications: 236)
pva45	John van Reenen	Institute of Labor Economics (IZA); National Bureau of Economic Research (NBER); Centre for Economic Policy Research (CEPR); London School of Economics (LSE) -> Centre for Economic Performance (CEP); London School of Economics (LSE) (rank: 78, publications: 447)
pak7	George A. Akerlof	University of California-Berkeley -> Department of Economics; Brookings Institution -> Economic Studies (rank: 79, publications: 85)
pta174	John B. Taylor	Stanford University -> Department of Economics; Stanford University -> Stanford Institute for Economic Policy Research (SIEPR); Stanford University -> Hoover Institution on War Revolution & Peace (rank: 80, publications: 197)
pha893	Jerry A. Hausman	Massachusetts Institute of Technology (MIT) -> Economics Department (rank: 81, publications: 159)
psi146	Hans-Werner Sinn	Ifo Institute for Economic Research at the University of Munich; CESifo (rank: 82, publications: 580)
pje57	Michael C. Jensen	National Bureau of Economic Research (NBER); Harvard University -> Harvard Business School -> Negotiations, Organizations and Markets Unit (rank: 83, publications: 55)
psh69	Robert J. Shiller	Yale University -> School of Management; Yale University -> Cowles Foundation for Research in Economics; Yale University -> Economics Department (rank: 84, publications: 286)
pmi34	Paul Milgrom	Stanford University -> Department of Economics (rank: 85, publications: 142)
pca694	Guillermo Calvo	Columbia University -> School of International and Public Affairs (SIPA) (rank: 86, publications: 206)
pmc90	Michael McAleer	Erasmus University of Rotterdam -> Erasmus School of Economics -> Econometric Institute; National Tsing Hua University -> Department of Quantitative Finance (rank: 87, publications: 1119)
pgu80	RANGAN GUPTA	IPAG Business School; University of Pretoria -> Faculty of Economic and Management Sciences -> Department of Economics (rank: 89, publications: 744)
pdi79	Avinash Kamalakar Dixit	Princeton University -> Department of Economics (rank: 90, publications: 166)
pfe29	Ernst Fehr	University of Zurich -> Faculty of Economics -> Department of Economics; University of Zurich -> Faculty of Economics -> Department of Economics -> UBS International Center of Economics in Society (rank: 91, publications: 323)
pga46	Oded Galor	Brown University -> Economics Department (rank: 92, publications: 236)
pwe175	Martin L. Weitzman	Harvard University -> Department of Economics (rank: 93, publications: 180)
pne241	Whitney Newey	Massachusetts Institute of Technology (MIT) -> Economics Department (rank: 94, publications: 145)
pzi13	Klaus F. Zimmermann	United Nations University-Maastricht Economic Research Institute of Innovation and Technology (UNU-MERIT); University of Bonn -> Economics Department -> Bonn Graduate School of Economics (rank: 95, publications: 553)
pro45	Paul Michael Romer	National Bureau of Economic Research (NBER); New York University (NYU) -> Stern School of Business -> Economics Department (rank: 96, publications: 62)
pki21	Robert King	Boston University -> Department of Economics (rank: 97, publications: 125)
pim4	Guido Imbens	National Bureau of Economic Research (NBER); Stanford University -> Graduate School of Business (rank: 98, publications: 188)
pau33	Alan Auerbach	University of California-Berkeley -> Department of Economics -> Robert D. Burch Center for Tax Policy and Public Finance (rank: 100, publications: 294)
pro558	Mark Rosenzweig	Yale University -> Economics Department -> Economic Growth Center (rank: 101, publications: 193)
pdi1	Francis Diebold	University of Pennsylvania -> Department of Economics (rank: 102, publications: 336)
pro71	Andrew Rose	National Bureau of Economic Research (NBER); Centre for Economic Policy Research (CEPR); University of California-Berkeley -> Walter A. Haas School of Business -> Economic Analysis & Policy Group (EAP) (rank: 103, publications: 326)
ppe32	Pierre Perron	Boston University -> Department of Economics (rank: 104, publications: 231)
pha231	John Haltiwanger	Institute of Labor Economics (IZA); National Bureau of Economic Research (NBER); University of Maryland -> Department of Economics (rank: 105, publications: 273)
pst43	Jeremy Stein	National Bureau of Economic Research (NBER); Harvard University -> Department of Economics (rank: 106, publications: 138)
pha60	James Hamilton	University of California-San Diego (UCSD) -> Department of Economics (rank: 107, publications: 106)
psc166	friedrich georg schneider	University of Linz -> Department of Economics (rank: 108, publications: 386)
pbo44	George Borjas	Institute of Labor Economics (IZA); National Bureau of Economic Research (NBER); Harvard University -> Kennedy School of Government (rank: 109, publications: 155)
pjo20	Boyan Jovanovic	National Bureau of Economic Research (NBER); New York University (NYU) -> Department of Economics (rank: 110, publications: 191)
pca44	Ricardo J Caballero	National Bureau of Economic Research (NBER); Massachusetts Institute of Technology (MIT) -> Economics Department (rank: 111, publications: 242)
pde226	Asli Demirguc-Kunt	World Bank Group -> Economics Research (rank: 112, publications: 281)
pta37	Guido Tabellini	Bocconi University -> Innocenzo Gasparini Institute for Economic Research (IGIER) (rank: 113, publications: 270)
pgo50	Robert J. Gordon	National Bureau of Economic Research (NBER); Centre for Economic Policy Research (CEPR); Northwestern University -> Department of Economics (rank: 114, publications: 192)
pth67	Richard H. Thaler	University of Chicago -> Booth School of Business (rank: 115, publications: 101)
pmc4	Bennett McCallum	Carnegie Mellon University -> Tepper School of Business Administration -> Department of Economics (rank: 116, publications: 266)
pco57	John H. Cochrane	National Bureau of Economic Research (NBER); University of Chicago -> Booth School of Business; Stanford University -> Hoover Institution on War Revolution & Peace (rank: 117, publications: 109)
pjo35	Soren Johansen	University of Aarhus -> Department of Economics and Business -> Center for Research in Econometric Analysis of Time Series (CREATES); University of Copenhagen -> Department of Economics (rank: 118, publications: 142)
pmi37	Frederic Mishkin	National Bureau of Economic Research (NBER); Columbia University -> Graduate School of Business -> Finance and Economics Department (rank: 119, publications: 241)
pai8	Joshua Aizenman	University of Southern California -> Department of Economics (rank: 120, publications: 497)
pzi101	Luigi Zingales	University of Chicago -> Booth School of Business (rank: 121, publications: 199)
ple26	David Levine	European University Institute -> Department of Economics; European University Institute -> Robert Schuman Centre for Advanced Studies (RSCAS); Federal Reserve Bank of St. Louis -> Research Division; Washington University in St. Louis -> Department of Economics (rank: 122, publications: 381)
pma111	Charles Manski	Northwestern University -> Department of Economics; Northwestern University -> Institute for Policy Research (IPR) (rank: 123, publications: 199)
ppe73	Pierre Pestieau	Catholic University of Louvain-la-Neuve -> Economics School of Louvain -> Center for Operations Research and Econometrics (CORE); University of Liege -> School of Management -> Research Center on Public and Population Economics (rank: 124, publications: 670)
pto90	Richard S.J. Tol	CESifo; Tinbergen Institute; University of Sussex -> School of Business, Management and Economics -> Department of Economics; VU University Amsterdam -> Faculty of Economic Sciences, Business Administration and Econometrics -> Department of Spatial Economics; VU University Amsterdam -> Institute for Environmental Studies (IVM) (rank: 125, publications: 500)
pke4	Patrick J. Kehoe	University of Minnesota -> Department of Economics; University College London (UCL) -> Department of Economics; Stanford University -> Department of Economics; Federal Reserve Bank of Minneapolis (rank: 126, publications: 242)
pne16	David Neumark	Institute of Labor Economics (IZA); National Bureau of Economic Research (NBER); University of California-Irvine -> Department of Economics; Public Policy Institute of California (PPIC) (rank: 127, publications: 343)
pni25	Stephen Nickell	Oxford University -> Department of Economics; Oxford University -> Department of Economics -> Economics Group, Nuffield College (rank: 128, publications: 193)
pgr21	Gene Grossman	Princeton University -> Department of Economics; National Bureau of Economic Research (NBER); Centre for Economic Policy Research (CEPR); Princeton University -> Department of Economics -> International Economics Section (rank: 129, publications: 217)
par4	Manuel Arellano	Center for Monetary and Financial Studies (rank: 130, publications: 72)
ped3	Sebastian Edwards	University of California-Los Angeles (UCLA) -> Anderson Graduate School of Management -> Center for Global Management (rank: 132, publications: 309)
pfe116	Robert C. Feenstra	University of California-Davis -> Economics Department (rank: 133, publications: 227)
pre4	Sergio Rebelo	National Bureau of Economic Research (NBER); Centre for Economic Policy Research (CEPR); Northwestern University -> Kellogg Graduate School of Management -> Department of Finance (rank: 134, publications: 181)
pke18	Michael P Keane	Oxford University -> Department of Economics; UNSW (Australia) -> UNSW Business School -> ARC Centre of Excellence in Population Ageing Research (CEPAR) (rank: 136, publications: 187)
pma498	Eric S. Maskin	National Research University Higher School of Economics; Harvard University -> Department of Economics; Central University of Finance and Economics (CUFE) -> China Economics and Management Academy (rank: 137, publications: 183)
pwh8	John Whalley	University of Western Ontario -> Department of Economics (rank: 138, publications: 402)
pbe359	Allen N. Berger	Federal Reserve Board (Board of Governors of the Federal Reserve System); University of Pennsylvania -> Wharton School of Business -> Financial Institutions Center (rank: 139, publications: 198)
pha102	Campbell Harvey	National Bureau of Economic Research (NBER); Duke University -> Fuqua School of Business -> Finance Area (rank: 140, publications: 118)
pro40	Alvin Roth	Stanford University -> Department of Economics (rank: 141, publications: 200)
pko44	Laurence Kotlikoff	Gaidar Institute for Economic Policy; Boston University -> Department of Economics (rank: 142, publications: 306)
pha222	Oliver D. Hart	National Bureau of Economic Research (NBER); Harvard University -> Department of Economics (rank: 143, publications: 136)
pcu13	Janet Currie	Princeton University -> Department of Economics; Institute of Labor Economics (IZA); National Bureau of Economic Research (NBER); Princeton University -> Woodrow Wilson School of Public and International Affairs (rank: 144, publications: 226)
pwe16	Kenneth D. West	National Bureau of Economic Research (NBER); University of Wisconsin-Madison -> Economics Department (rank: 145, publications: 145)
pro179	James Alan Robinson	University of Chicago -> Harris School of Public Policy (rank: 146, publications: 187)
ple59	Steven Levitt	University of Chicago -> Department of Economics (rank: 147, publications: 144)
psh155	Martin Shubik	Yale University -> School of Management; Yale University -> Cowles Foundation for Research in Economics; Yale University -> Economics Department (rank: 148, publications: 437)
pdo2	Tom Doan	Northwestern University -> Kellogg Graduate School of Management -> Department of Finance (rank: 150, publications: 1)
pos21	Andrew J. Oswald	University of Warwick -> Department of Economics; Institute of Labor Economics (IZA) (rank: 151, publications: 277)
pat7	Orazio Attanasio	University College London (UCL) -> Department of Economics; Institute for Fiscal Studies (IFS) (rank: 152, publications: 211)
pdu166	Esther Duflo	Massachusetts Institute of Technology (MIT) -> Economics Department (rank: 153, publications: 161)
pbl41	Alan S. Blinder	Princeton University -> Department of Economics; Princeton University -> Department of Economics -> Griswold Center for Economic Policy Studies (rank: 154, publications: 182)
pro406	David Romer	National Bureau of Economic Research (NBER); University of California-Berkeley -> Department of Economics (rank: 155, publications: 95)
pka712	Ravi Kanbur	Cornell University -> Department of Economics; Cornell University -> Charles H. Dyson School of Applied Economics and Management (rank: 156, publications: 414)
pme260	Marc J. Melitz	Harvard University -> Department of Economics (rank: 157, publications: 81)
pbe266	Thorsten Beck	City University -> Cass Business School (rank: 158, publications: 233)
pea1	William Easterly	National Bureau of Economic Research (NBER); New York University (NYU) -> Department of Economics (rank: 160, publications: 159)
ppi12	Christopher A Pissarides	London School of Economics (LSE) -> Economics Department; University of Cyprus -> Faculty of Economics and Management -> Department of Economics (rank: 161, publications: 169)
pra388	Assaf Razin	Tel Aviv University -> Eitan Berglas School of Economics -> Foerder Institute for Economic Research (rank: 162, publications: 424)
psc26	Jose Scheinkman	Columbia University -> School of Arts and Sciences -> Department of Economics (rank: 163, publications: 136)
pja7	Matthew O. Jackson	Stanford University -> Department of Economics (rank: 164, publications: 244)
pwe20	Shang-Jin Wei	Peking University -> China Center for Economic Research (CCER); National Bureau of Economic Research (NBER); Columbia University -> Graduate School of Business (rank: 165, publications: 256)
pla64	Edward Lazear	National Bureau of Economic Research (NBER); Stanford University -> Graduate School of Business; Stanford University -> Hoover Institution on War Revolution & Peace (rank: 166, publications: 105)
pau27	David B. Audretsch	Otto Beisheim Graduate School of Management; Indiana University -> School of Public and Environmental Affairs (rank: 167, publications: 293)
pwe24	David Weil	National Bureau of Economic Research (NBER); Brown University -> Economics Department (rank: 168, publications: 121)
pla164	David Laibson	National Bureau of Economic Research (NBER); Harvard University -> Department of Economics (rank: 169, publications: 189)
psh692	Hyun Song Shin	Bank for International Settlements (BIS) (rank: 170, publications: 263)
pbo243	Michael David Bordo	Rutgers University-New Brunswick -> Department of Economics (rank: 171, publications: 344)
pve7	Anthony J. Venables	Centre for Economic Policy Research (CEPR); Oxford University -> Department of Economics -> Oxford Centre for the Analysis of Resource-Rich Economies (OxCarre) (rank: 172, publications: 283)
pcr111	John Creedy	University of Melbourne -> Faculty of Business and Economics -> Department of Economics; Government of New Zealand -> Treasury; Victoria University of Wellington -> Victoria Business School (rank: 174, publications: 480)
pau9	David Autor	National Bureau of Economic Research (NBER); Massachusetts Institute of Technology (MIT) -> Economics Department (rank: 175, publications: 142)
pan31	James Andreoni	University of California-San Diego (UCSD) -> Department of Economics (rank: 176, publications: 155)
ppa20	Ariel Pakes	National Bureau of Economic Research (NBER); Harvard University -> Department of Economics (rank: 177, publications: 119)
pmu108	Kevin M. Murphy	University of Chicago -> Department of Economics; National Bureau of Economic Research (NBER); University of Chicago -> Booth School of Business (rank: 178, publications: 95)
pro30	Julio Rotemberg	Harvard University -> Harvard Business School -> Business, Government and the International Economy (BGIE) Unit (rank: 179, publications: 137)
pha79	Bruce E. Hansen	University of Wisconsin-Madison -> Economics Department (rank: 180, publications: 88)
pbe52	Geert Bekaert	National Bureau of Economic Research (NBER); Columbia University -> Graduate School of Business -> Finance and Economics Department (rank: 181, publications: 154)
pje7	Stephen Jenkins	Institute of Labor Economics (IZA); University of Essex -> Institute for Social and Economic Research (ISER); German Institute for Economic Research (DIW) -> Research Infrastructure ""Socio-Economic Panel (SOEP)""; London School of Economics (LSE) -> Department of Social Policy; Centre for Household, Income, Labour and Demographic Economics (CHILD); London School of Economics (LSE) -> Suntory and Toyota International Centres for Economics and Related Disciplines (STICERD) (rank: 182, publications: 276)
phe33	David F. Hendry	Oxford University -> Department of Economics (rank: 183, publications: 272)
pmu103	Sendhil Mullainathan	National Bureau of Economic Research (NBER); Harvard University -> Department of Economics (rank: 184, publications: 118)
pme353	Allan H. Meltzer	Carnegie Mellon University -> Tepper School of Business Administration -> Department of Economics (rank: 185, publications: 208)
pep2	Larry Epstein	Boston University -> Department of Economics (rank: 186, publications: 132)
pbe285	Jere Richard Behrman	University of Pennsylvania -> Department of Economics (rank: 187, publications: 295)
pdu117	Steven N. Durlauf	University of Wisconsin-Madison -> Economics Department (rank: 188, publications: 191)
pro53	Richard Rogerson	Princeton University -> Department of Economics; National Bureau of Economic Research (NBER) (rank: 189, publications: 161)
pka60	Daniel Kahneman	Princeton University -> Woodrow Wilson School of Public and International Affairs (rank: 190, publications: 29)
pbe27	Roland Benabou	Princeton University -> Department of Economics; Institute of Labor Economics (IZA); National Bureau of Economic Research (NBER); Centre for Economic Policy Research (CEPR); Canadian Institute for Advanced Research (CIFAR) -> Program in Institutions, Organizations and Growth; Canadian Institute for Advanced Research (CIFAR) -> Program in Social Interactions, Identity and Well-Being (rank: 191, publications: 138)
pga174	Xavier Gabaix	Harvard University -> Department of Economics; New York University (NYU) -> Stern School of Business -> Finance Department (rank: 192, publications: 127)
pdu341	Darrell Duffie	Stanford University -> Graduate School of Business (rank: 193, publications: 141)
psm12	Vernon Smith	Chapman University -> Argyros School of Business and Economics -> Economic Science Institute (ESI) (rank: 194, publications: 181)
pbu137	Willem Hendrik Buiter	Columbia University -> School of International and Public Affairs (SIPA); Council on Foreign Relations -> Maurice R. Greenberg Center for Geoeconomic Studies (rank: 195, publications: 344)
pvi69	W Kip Viscusi	Vanderbilt University -> Department of Economics (rank: 196, publications: 240)
pot15	Gianmarco I.P. Ottaviano	University of Bologna -> Department of Economics; Centre for Economic Policy Research (CEPR); London School of Economics (LSE) -> Economics Department; London School of Economics (LSE) -> Centre for Economic Performance (CEP) (rank: 197, publications: 303)
pki110	Lutz Kilian	University of Michigan -> Economics Department (rank: 198, publications: 243)
pea5	Jonathan Eaton	National Bureau of Economic Research (NBER); Pennsylvania State University -> Department of Economics (rank: 199, publications: 171)
pjo44	Simon Johnson	National Bureau of Economic Research (NBER); Peter G. Peterson Institute for International Economics (IIE); Massachusetts Institute of Technology (MIT) -> Sloan School of Management (rank: 200, publications: 122)
pha80	Gordon Hanson	University of California-San Diego (UCSD) -> Department of Economics; National Bureau of Economic Research (NBER) (rank: 201, publications: 159)
pbe81	B. Douglas Bernheim	Stanford University -> Department of Economics (rank: 202, publications: 130)
peg11	Peter H. Egger	Centre for Economic Policy Research (CEPR); Federal Institute of Technology Zurich -> Department of Management, Technology and Economics (D-MTEC) -> KOF Swiss Economic Institute; Federal Institute of Technology Zurich -> Department of Management, Technology and Economics (D-MTEC) (rank: 203, publications: 353)
pla174	Luc Laeven	European Central Bank (rank: 204, publications: 204)
pha97	Eric Hanushek	National Bureau of Economic Research (NBER); CESifo; Stanford University -> Hoover Institution on War Revolution & Peace (rank: 205, publications: 253)
pra660	Matthew Rabin	University of California-Berkeley -> Department of Economics (rank: 206, publications: 126)
pha78	Daniel Hamermesh	Institute of Labor Economics (IZA); National Bureau of Economic Research (NBER); University of Texas-Austin -> Department of Economics; Royal Holloway -> Department of Economics (rank: 207, publications: 253)
pba124	Richard Baldwin	Institute des Hautes Études Internationales et du Développement -> International Economics Section (rank: 208, publications: 235)
pho22	Peter Howitt	National Bureau of Economic Research (NBER); Brown University -> Economics Department (rank: 209, publications: 139)
pch161	Raj Chetty	National Bureau of Economic Research (NBER); Stanford University -> Department of Economics (rank: 210, publications: 104)
pho488	Bengt Holmstrom	Massachusetts Institute of Technology (MIT) -> Economics Department (rank: 211, publications: 56)
pas9	Orley Ashenfelter	Princeton University -> Department of Economics; Institute of Labor Economics (IZA) (rank: 213, publications: 236)
psc51	Mark Schaffer	Institute of Labor Economics (IZA); Centre for Economic Policy Research (CEPR); Heriot-Watt University -> School of Management and Languages -> Department of Accountancy, Economics and Finance (rank: 214, publications: 110)
pmo48	Robert Moffitt	Johns Hopkins University -> Department of Economics (rank: 215, publications: 175)
pje46	Glenn Paul Jenkins	Queen's University -> Economics Department; Eastern Mediterranean University -> Faculty of Business and Economics -> Department of Economics (rank: 216, publications: 331)
pce99	Richard J. Cebula	Jacksonville University -> Davis College of Business (rank: 218, publications: 453)
psl10	Joel Slemrod	University of Michigan -> Economics Department; University of Michigan -> Ross School of Business -> Department of Business Economics and Public Policy (rank: 219, publications: 231)
pto99	Robert M. Townsend	University of Chicago -> Department of Economics; Massachusetts Institute of Technology (MIT) -> Economics Department (rank: 220, publications: 122)
pgu58	Luigi Guiso	Einaudi Institute for Economics and Finance (rank: 221, publications: 280)
pdu62	christian dustmann	University College London (UCL) -> Department of Economics; University College London (UCL) -> Centre for Research and Analysis of Migration (CReAM) (rank: 223, publications: 256)
pbl55	nicholas bloom	National Bureau of Economic Research (NBER); Centre for Economic Policy Research (CEPR); Stanford University -> Department of Economics; London School of Economics (LSE) -> Centre for Economic Performance (CEP); Stanford University -> Stanford Institute for Economic Policy Research (SIEPR) (rank: 224, publications: 229)
