id	name	description
pra154	Valerie Ann Ramey	University of California-San Diego (UCSD) -> Department of Economics; National Bureau of Economic Research (NBER) (rank: 12, publications: 77)
pto104	Petia Topalova	International Monetary Fund (IMF) -> Research Department (rank: 120, publications: 53)
pve40	Laura Veldkamp	New York University (NYU) -> Stern School of Business -> Economics Department (rank: 121, publications: 75)
psc175	Dorothea Schäfer	German Institute for Economic Research (DIW); Jonkoping University -> Jönköping International Business School -> Department of Economics, Finance, Statistics and Informatics; Maria Assunta Free University -> Center for Relationship Banking and Economics (CERBE) (rank: 122, publications: 183)
par8	Wiji Arulampalam	University of Warwick -> Department of Economics; Institute of Labor Economics (IZA); Oxford University -> Saïd Business School -> Centre for Business Taxation (rank: 123, publications: 89)
pch151	Judith Chevalier	National Bureau of Economic Research (NBER); Yale University -> School of Management (rank: 124, publications: 32)
psh162	Kathryn Shaw	Stanford University -> Graduate School of Business (rank: 126, publications: 47)
pos39	Emily Oster	Brown University -> Economics Department (rank: 127, publications: 37)
pdo227	Kathryn M. E. Dominguez	University of Michigan -> Economics Department; University of Michigan -> Gerald R. Ford School of Public Policy (rank: 128, publications: 75)
psc367	Susanne Schennach	Brown University -> Economics Department (rank: 129, publications: 39)
pre102	Lucrezia Reichlin	Centre for Economic Policy Research (CEPR); London Business School (LBS) -> Department of Economics (rank: 13, publications: 204)
pdu104	Pascaline Dupas	Stanford University -> Department of Economics (rank: 130, publications: 53)
ppr38	Mirjam van Praag	Institute of Labor Economics (IZA); Tinbergen Institute; University of Amsterdam -> Faculty of Economics and Business; Copenhagen Business School -> Department of Innovation and Organizational Economics (rank: 131, publications: 113)
psb1	Argia Sbordone	Federal Reserve Bank of New York -> Research and Statistics Group (rank: 132, publications: 40)
pte2	Leigh Tesfatsion	Iowa State University -> Department of Economics (rank: 134, publications: 186)
pdy1	Susan Dynarski	National Bureau of Economic Research (NBER); University of Michigan -> Gerald R. Ford School of Public Policy (rank: 135, publications: 51)
pga245	Cecilia Garcia-Penalosa	Aix-Marseille School of Economics (AMSE) -> Groupement de Recherche en Économie Quantitative d'Aix-Marseille (GREQAM) (rank: 136, publications: 98)
pal64	Laura Alfaro	Harvard University -> Harvard Business School (rank: 137, publications: 84)
psa438	Dürdane ?irin Saraco?lu	Middle East Technical University -> Faculty of Economics and Administrative Sciences -> Department of Economics (rank: 138, publications: 11)
pfi105	Carolyn Fischer	Resources for the Future (RFF) (rank: 139, publications: 105)
pka84	Graciela Laura Kaminsky	National Bureau of Economic Research (NBER); George Washington University -> Department of Economics (rank: 14, publications: 98)
ppa393	Eleonora Patacchini	Cornell University -> Department of Economics (rank: 140, publications: 119)
pth283	Marie Currie Thursby	Georgia Institute of Technology -> Scheller College of Business (rank: 141, publications: 89)
pla570	Susan K. Laury	Georgia State University -> Andrew Young School of Policy Studies -> Department of Economics; Georgia State University -> Andrew Young School of Policy Studies -> Department of Economics -> Experimental Economics Center; Georgia State University -> Andrew Young School of Policy Studies (rank: 142, publications: 24)
pvr5	Susan Vroman	Georgetown University -> Economics Department (rank: 143, publications: 86)
pfa220	Mara Faccio	Purdue University -> Krannert School of Management -> Department of Finance (rank: 144, publications: 18)
pho173	Anke Hoeffler	Oxford University -> Department of Economics -> Centre for the Study of African Economies (CSAE) (rank: 145, publications: 39)
pna134	Rosemarie Nagel	Barcelona Graduate School of Economics (Barcelona GSE) -> Pompeu Fabra University -> Department of Economics and Business (rank: 146, publications: 71)
pst145	Betsey Stevenson	University of Michigan -> Gerald R. Ford School of Public Policy -> Center for Local, State and Urban Policy (CLOSUP) (rank: 147, publications: 64)
pim5	Ayse Imrohoroglu	University of Southern California -> Marshall School of Business -> Department of Finance and Business Economics (rank: 148, publications: 54)
pku361	Adriana Kugler	Georgetown University -> McCourt School of Public Policy (rank: 149, publications: 82)
psc44	Stephanie Schmitt-Grohe	Columbia University -> School of Arts and Sciences -> Department of Economics (rank: 15, publications: 132)
pkr176	Rachel Kranton	Duke University -> Department of Economics (rank: 150, publications: 25)
pam57	Catalina Amuedo-Dorantes	Institute of Labor Economics (IZA); San Diego State University -> Department of Economics; Public Policy Institute of California (PPIC) (rank: 151, publications: 101)
pja86	Seema Jayachandran	Northwestern University -> Department of Economics (rank: 152, publications: 47)
pco117	Amelie Constant	United Nations University-Maastricht Economic Research Institute of Innovation and Technology (UNU-MERIT); Princeton University -> Woodrow Wilson School of Public and International Affairs -> Office of Population Research (rank: 153, publications: 161)
pwe114	Beatrice Weder	University of Mainz -> Gutenberg School of Management and Economics -> Economics Chairs (rank: 154, publications: 65)
pgo327	Gita Gopinath	National Bureau of Economic Research (NBER); Harvard University -> Department of Economics (rank: 155, publications: 32)
pqi25	Nancy Qian	National Bureau of Economic Research (NBER); Centre for Economic Policy Research (CEPR); Harvard University -> Kennedy School of Government -> Bureau for Research in Economic Analysis of Development (BREAD); Yale University -> Economics Department -> Economic Growth Center (rank: 156, publications: 66)
pla92	Francine Lafontaine	University of Michigan -> Ross School of Business -> Department of Business Economics and Public Policy (rank: 157, publications: 58)
pfa22	Ester Faia	Centre for Economic Policy Research (CEPR); Goethe University Frankfurt -> Faculty of Economics and Business Administration -> Department of Money and Macroeconomics (rank: 158, publications: 110)
pdu7	Mardi Dungey	Australian National University -> Crawford School of Public Policy -> Centre for Applied Macroeconomic Analysis (CAMA); University of Tasmania -> Tasmanian School of Business and Economics -> School of Economics and Finance (rank: 159, publications: 143)
pgr70	Rachel Griffith	University of Manchester -> School of Economics; Institute for Fiscal Studies (IFS); Institute for Fiscal Studies (IFS) -> ESRC Centre for the Microeconomic Analysis of Public Policy (CPP) (rank: 16, publications: 157)
pmc264	Kathleen McGarry	National Bureau of Economic Research (NBER); University of California-Los Angeles (UCLA) -> Department of Economics (rank: 160, publications: 48)
pfo74	Lucia Smith Foster	Government of the United States -> Department of Commerce -> Census Bureau -> Center for Economic Studies (rank: 161, publications: 39)
ppa153	Leslie E. Papke	Michigan State University -> Economics Department (rank: 162, publications: 23)
pst180	Ann Huff Stevens	University of California-Davis -> Economics Department (rank: 163, publications: 51)
pko155	Phoebe Koundouri	London School of Economics (LSE); Athens University of Economics and Business (AUEB); International Centre for Research on the Environment and the Economy (ICRE8) (rank: 164, publications: 203)
pst458	Paula E. Stephan	National Bureau of Economic Research (NBER); Georgia State University -> Andrew Young School of Policy Studies -> Department of Economics (rank: 165, publications: 60)
psm105	Sarah Smith	University of Bristol -> School of Economics, Finance and Management; Institute for Fiscal Studies (IFS); University of Bristol -> School of Economics, Finance and Management -> Centre for Market and Public Organisation (CMPO) (rank: 166, publications: 89)
pmc26	Margaret Mcmillan	International Food Policy Research Institute (IFPRI); Tufts University -> Department of Economics (rank: 167, publications: 69)
pca72	Trudy Ann Cameron	University of Oregon -> Department of Economics (rank: 168, publications: 80)
pza33	Madeline Zavodny	Institute of Labor Economics (IZA); Agnes Scott College -> Department of Economics (rank: 169, publications: 109)
pho46	Caroline Hoxby	National Bureau of Economic Research (NBER); Stanford University -> Department of Economics (rank: 17, publications: 66)
ppa900	Rohini Pande	Harvard University -> Kennedy School of Government -> Center for International Development; Harvard University -> Kennedy School of Government (rank: 170, publications: 63)
pde117	Daniela Del Boca	University of Turin -> Carlo Alberto College; University of Turin -> Cognetti de Martiis Department of Economics and Statistics (rank: 171, publications: 128)
pke151	Melissa Schettini Kearney	University of Maryland -> Department of Economics (rank: 172, publications: 33)
ppo168	sandra poncet	Paris School of Economics; French Center in International Economics (rank: 173, publications: 157)
pow7	Ann L. Owen	Hamilton College -> Department of Economics (rank: 174, publications: 70)
pbo275	Valentina Bosetti	Bocconi University -> Ettore Bocconi Department of Economics; ENI Enrico Mattei Foundation; Bocconi University -> Innocenzo Gasparini Institute for Economic Research (IGIER); Bocconi University -> Institute for Research on Energy and Environmental Economics and Policy (rank: 175, publications: 179)
pfo80	Francoise Forges	University of Paris 9 -> Dauphine Economics Laboratory; University of Paris 9 -> Research Center in Decision Mathematics (rank: 176, publications: 138)
pal320	Anna Alberini	University of Maryland -> Department of Agricultural and Resource Economics (rank: 177, publications: 116)
pta98	ays?t tansel	Institute of Labor Economics (IZA); Middle East Technical University -> Faculty of Economics and Administrative Sciences -> Department of Economics; Economic Research Forum (ERF) (rank: 178, publications: 267)
ptr146	Alessandra Tracogna	Centre for Industrial Studies (CSIL) (rank: 179, publications: 64)
pha441	Ann E. Harrison	University of Pennsylvania -> Wharton School of Business -> Department of Business Economics and Public Policy; University of Pennsylvania -> Wharton School of Business -> Management Department (rank: 18, publications: 104)
psc60	Monika Schnitzer	University of Munich -> Department of Economics (rank: 180, publications: 144)
pma505	Anna Maria Mayda	Institute of Labor Economics (IZA); Centre for Economic Policy Research (CEPR); Georgetown University -> Economics Department (rank: 181, publications: 66)
pma177	Dalia Marin	University of Munich -> Department of Economics (rank: 182, publications: 143)
ppa539	Marianne Elizabeth Page	National Bureau of Economic Research (NBER); University of California-Davis -> Economics Department (rank: 183, publications: 37)
pla36	Julia Lane	Institute of Labor Economics (IZA); Bureau of Economic Theory and Applications; University of Melbourne -> Faculty of Business and Economics -> Melbourne Institute of Applied Economic and Social Research (MIAESR) (rank: 184, publications: 113)
pad158	Renee Adams	UNSW (Australia) -> UNSW Business School -> School of Banking and Finance (rank: 185, publications: 29)
pga222	Esther Gal-Or	University of Pittsburgh -> Katz Graduate School of Business (rank: 186, publications: 41)
ple85	Julie Le Gallo	National Institute for Agronomic Research -> Research Division Social Sciences, Agriculture and Food, Rural Development and Environment -> Center for Economics and Sociology Applied to Agriculture and Rural Spaces (rank: 187, publications: 161)
pgu198	Alessandra Guariglia	University of Birmingham -> Department of Economics (rank: 188, publications: 86)
ply3	Lisa Lynch	Institute of Labor Economics (IZA); National Bureau of Economic Research (NBER); Brandeis University -> Heller School for Social Policy and Management (rank: 189, publications: 43)
pgo1	Pinelopi Goldberg	National Bureau of Economic Research (NBER); Yale University -> Economics Department (rank: 19, publications: 69)
pbi249	Nancy Birdsall	Center for Global Development (CGD) (rank: 190, publications: 96)
pbe76	Graziella Bertocchi	Institute of Labor Economics (IZA); Centre for Economic Policy Research (CEPR); University of Modena and Reggio Emilia -> Department of Economics (rank: 191, publications: 132)
pma1464	Nancy P. Marion	Dartmouth College -> Economics Department (rank: 192, publications: 61)
pan256	Siwan Anderson	University of British Columbia -> Vancouver School of Economics (rank: 193, publications: 23)
pro786	Nancy Lin Rose	National Bureau of Economic Research (NBER); Massachusetts Institute of Technology (MIT) -> Economics Department (rank: 194, publications: 35)
pla158	Helen F. Ladd	Duke University -> Sanford School of Public Policy (rank: 196, publications: 59)
pkh290	Madhu Khanna	University of Illinois at Urbana-Champaign -> Department of Agricultural and Consumer Economics (rank: 197, publications: 119)
peb3	Janice Eberly	National Bureau of Economic Research (NBER); Northwestern University -> Kellogg Graduate School of Management -> Department of Finance (rank: 198, publications: 32)
psa385	Raffaella Sadun	National Bureau of Economic Research (NBER); London School of Economics (LSE) -> Centre for Economic Performance (CEP); Harvard University -> Harvard Business School -> Strategy Unit (rank: 199, publications: 90)
pde226	Asli Demirguc-Kunt	World Bank Group -> Economics Research (rank: 2, publications: 281)
plu347	Annamaria Lusardi	George Washington University -> School of Business (rank: 20, publications: 175)
pbh22	Sonia Bhalotra	University of Essex -> Institute for Social and Economic Research (ISER); University of Essex -> Economics Department; Centre for Household, Income, Labour and Demographic Economics (CHILD); Oxford University -> Department of International Development (Queen Elizabeth House); Oxford University -> Department of Economics -> Centre for the Study of African Economies (CSAE) (rank: 200, publications: 114)
pca219	Eve Caroli	Paris School of Economics; Institute of Labor Economics (IZA); University of Paris 9 -> Dauphine Economics Laboratory -> Laboratory for the Economics and Management of Health Organizations (rank: 201, publications: 107)
ple284	Hooi Hooi Lean	IPAG Business School; University of Science Malaysia -> Economics (rank: 203, publications: 103)
pme165	Margaret Meyer	Oxford University -> Department of Economics; Oxford University -> Department of Economics -> Economics Group, Nuffield College (rank: 204, publications: 30)
pma1143	Diane J. Macunovich	University of Redlands -> Department of Economics (rank: 205, publications: 29)
pma246	Maurel	University of Paris 1 -> Sorbonne Economic Centre (rank: 207, publications: 171)
pca277	Wendy Carlin	Centre for Economic Policy Research (CEPR); University College London (UCL) -> Department of Economics (rank: 208, publications: 70)
pba832	Christiane Baumeister	University of Notre Dame -> Department of Economics (rank: 209, publications: 68)
pat6	Susan Athey	National Bureau of Economic Research (NBER); Stanford University -> Graduate School of Business (rank: 21, publications: 91)
pgu275	Dominique Madeleine GUEGAN	University of Paris 1 -> Sorbonne Economic Centre; IPAG Business School (rank: 210, publications: 279)
pbr160	Sarah Brown	Institute of Labor Economics (IZA); University of Sheffield -> Department of Economics (rank: 211, publications: 150)
pmc83	Deirdre N. McCloskey	University of Illinois at Chicago -> Department of Economics (rank: 212, publications: 77)
ppa299	Carmen Pages	Inter-American Development Bank (rank: 213, publications: 95)
phe130	Joni Hersch	Institute of Labor Economics (IZA) (rank: 214, publications: 49)
pte46	Aurora Amélia Castro Teixeira	University of Porto -> Faculty of Economics -> Centre for Economics and Finance; University of Porto -> Faculty of Economics; University of Porto -> Faculty of Economics -> Observatory on the Economics and Business of Fraud; INESC -> Unit for Technology Innovation and Transformation (rank: 215, publications: 140)
pco852	Monica Costa Dias	Institute for Fiscal Studies (IFS) (rank: 216, publications: 48)
pwa297	susan m. wachter	University of Pennsylvania -> Wharton School of Business -> Real Estate Department (rank: 217, publications: 98)
par171	Cristina Arellano	Federal Reserve Bank of Minneapolis -> Research Department (rank: 218, publications: 37)
pal30	Stefania Albanesi	Centre for Economic Policy Research (CEPR); University of Pittsburgh -> Department of Economics (rank: 219, publications: 75)
ppa335	Christina Paxson	Brown University -> Economics Department (rank: 22, publications: 102)
pde444	Lorraine Dearden	Institute of Labor Economics (IZA); Institute for Fiscal Studies (IFS); University College London (UCL) -> Institute of Education -> Department of Social Sciences (rank: 220, publications: 75)
pba341	Uschi Backes-Gellner	University of Zurich -> Faculty of Economics -> Department of Business Administration -> Swiss Leading House ""Economics of Education""; University of Zurich -> Faculty of Economics -> Department of Business Administration (rank: 221, publications: 113)
pca97	Ana Rute Cardoso	Barcelona Graduate School of Economics (Barcelona GSE) -> Institute of Economic Analysis (rank: 222, publications: 88)
pde254	Maria De Paola	Institute of Labor Economics (IZA); University of Calabria -> Department of Economics, Statistics and Finance (rank: 223, publications: 115)
pma745	Catherine Mathieu	Sciences Po -> Economics -> Research Center for Economics (rank: 224, publications: 163)
psp48	Katharina Christa Spiess	German Institute for Economic Research (DIW) -> Research Infrastructure ""Socio-Economic Panel (SOEP)"" (rank: 225, publications: 136)
pni18	Helena Skyt Nielsen	University of Aarhus -> Department of Economics and Business (rank: 226, publications: 100)
pcu44	Julie Berry Cullen	University of California-San Diego (UCSD) -> Department of Economics (rank: 227, publications: 28)
ppa381	Evi Paraskevi Pappa	Centre for Economic Policy Research (CEPR); European University Institute -> Department of Economics; Barcelona Graduate School of Economics (Barcelona GSE) -> Autonomous University of Barcelona -> Department of Economics and Economic History (rank: 228, publications: 58)
pbl92	Sandra E. Black	Institute of Labor Economics (IZA); National Bureau of Economic Research (NBER); University of Texas-Austin -> Department of Economics (rank: 23, publications: 137)
pme34	Monika Merz	University of Vienna -> Faculty of Economics -> Department of Economics; Institute of Labor Economics (IZA); Centre for Economic Policy Research (CEPR) (rank: 230, publications: 17)
pai9	Anna Aizer	Brown University -> Economics Department (rank: 231, publications: 37)
psc293	Margit Schratzenstaller	Austrian Institute of Economic Research (rank: 232, publications: 121)
pco92	Isabel Correia	Centre for Economic Policy Research (CEPR); Central Bank of Portugal; Catholic Portuguese University -> Faculty of Economics and Management (rank: 233, publications: 74)
pgu220	Veronica Guerrieri	National Bureau of Economic Research (NBER); University of Chicago -> Booth School of Business (rank: 234, publications: 16)
pan275	Patricia Mary Anderson	Dartmouth College -> Economics Department (rank: 235, publications: 37)
pap16	Patricia Frances Apps	Institute of Labor Economics (IZA); Australian National University -> College of Business and Economics -> Research School of Economics (rank: 236, publications: 111)
pda291	Patricia M. Danzon	University of Pennsylvania -> Wharton School of Business (rank: 237, publications: 54)
psi80	Anne Sibert	Centre for Economic Policy Research (CEPR); Birkbeck College -> Department of Economics, Mathematics and Statistics (rank: 238, publications: 64)
pga574	Lata Gangadharan	Monash University -> Monash Business School -> Department of Economics (rank: 239, publications: 99)
psa155	Paola Sapienza	National Bureau of Economic Research (NBER); Centre for Economic Policy Research (CEPR); Northwestern University -> Kellogg Graduate School of Management -> Department of Finance (rank: 24, publications: 95)
psm14	Nina Smith	University of Aarhus -> Department of Economics and Business (rank: 240, publications: 84)
pba943	Abigail Barr	University of Nottingham -> School of Economics -> Centre for Research in Economic Development and International Trade (CREDIT); University of Nottingham -> School of Economics -> Centre for Decision Research and Experimental Economics (CeDEx) (rank: 241, publications: 121)
pga504	Nancy Theresa Gallini	University of British Columbia -> Vancouver School of Economics (rank: 242, publications: 35)
pma138	Sara Markowitz	National Bureau of Economic Research (NBER); Emory University -> Department of Economics (rank: 243, publications: 82)
pbi55	Monica Billio	University Ca' Foscari Venice -> Department of Economics (rank: 244, publications: 112)
pgi20	Raffaella Giacomini	University College London (UCL) -> Department of Economics (rank: 245, publications: 35)
phe270	Judith K. Hellerstein	National Bureau of Economic Research (NBER); University of Maryland -> Department of Economics (rank: 247, publications: 42)
pki115	Geeta Gandhi Kingdon	Oxford University -> Department of Economics; Oxford University -> Department of Economics -> Centre for the Study of African Economies (CSAE); Institute of Education -> Department of Quantitative Social Science -> Centre for Longitudinal Studies (rank: 248, publications: 70)
ple270	Evelyn L. Lehrer	Institute of Labor Economics (IZA); University of Illinois at Chicago -> Department of Economics (rank: 249, publications: 37)
pbu78	Claudia M. Buch	German Federal Bank (rank: 25, publications: 329)
pho242	Julie L. Hotchkiss	Federal Reserve Bank of Atlanta -> Economic Research Department; Georgia State University -> Andrew Young School of Policy Studies -> Department of Economics (rank: 250, publications: 105)
pha1146	Diana Hancock	Federal Reserve Board (Board of Governors of the Federal Reserve System) (rank: 251, publications: 58)
pth42	Julia Kathryn Thomas	Ohio State University -> Department of Economics (rank: 252, publications: 51)
pbe298	Kathleen Beegle	World Bank Group -> International Bank for Reconstruction & Development (IBRD) (rank: 253, publications: 71)
pfo48	Alessandra Fogli	Federal Reserve Bank of Minneapolis -> Research Department (rank: 254, publications: 37)
pru212	Esther Ruiz	Carlos III University of Madrid -> Department of Statistics (rank: 255, publications: 93)
psa123	Aysegul Sahin	Federal Reserve Bank of New York -> Research and Statistics Group (rank: 257, publications: 69)
pbr194	Drusilla K. Brown	Tufts University -> Department of Economics (rank: 258, publications: 97)
pei27	Andrea L. Eisfeldt	University of California-Los Angeles (UCLA) -> Anderson Graduate School of Management -> Finance Group (rank: 259, publications: 33)
pba102	Marianne Baxter	National Bureau of Economic Research (NBER); Boston University -> Department of Economics (rank: 26, publications: 45)
ptu103	Sarah Elizabeth Turner	National Bureau of Economic Research (NBER); CESifo; University of Virginia -> Department of Economics (rank: 260, publications: 38)
pst100	Martha Starr	American University -> Department of Economics (rank: 261, publications: 72)
pha89	Galina Hale	Federal Reserve Bank of San Francisco -> Economic Research (rank: 262, publications: 86)
pmc115	Jill J. McCluskey	Washington State University -> School of Economic Sciences (rank: 263, publications: 122)
pal199	Sabina Alkire	Oxford University -> Department of International Development (Queen Elizabeth House) (rank: 264, publications: 49)
pes57	Marcela Eslava	University of the Andes -> Department of Economics -> Center of Studies on Economic Development; University of the Andes -> Department of Economics (rank: 265, publications: 63)
pho255	Karla Hoff	World Bank Group -> Economics Research (rank: 266, publications: 51)
pqu38	Martine Quinzii	University of California-Davis -> Economics Department (rank: 267, publications: 73)
pvi151	Anna Vignoles	Institute of Labor Economics (IZA); Institute for Fiscal Studies (IFS); Institute of Education -> Department of Quantitative Social Science; London School of Economics (LSE) -> Centre for the Economics of Education (CEE) (rank: 268, publications: 107)
pma53	Ines Macho-Stadler	Barcelona Graduate School of Economics (Barcelona GSE) -> Autonomous University of Barcelona -> Department of Economics and Economic History -> Department of Economics (rank: 269, publications: 118)
pbo80	Olympia Bover	Bank of Spain (rank: 27, publications: 57)
plo200	Maria L. Loureiro	University of Santiago de Compostela -> Faculty of Economics and Business -> Department of Foundations of Economic Analysis (rank: 270, publications: 102)
pbi12	Marianne P. Bitler	University of California-Davis -> Economics Department (rank: 271, publications: 61)
pna121	Emi Nakamura	Columbia University -> School of Arts and Sciences -> Department of Economics; Columbia University -> Graduate School of Business -> Finance and Economics Department (rank: 272, publications: 30)
pdi105	Anne-Célia Disdier	Paris School of Economics (rank: 273, publications: 109)
ple83	Valérie Lechene	University College London (UCL) -> Department of Economics; Institute for Fiscal Studies (IFS); Institute for Fiscal Studies (IFS) -> ESRC Centre for the Microeconomic Analysis of Public Policy (CPP) (rank: 274, publications: 43)
pda42	Nabanita Datta Gupta	University of Aarhus -> Department of Economics and Business; Centre for Studies in Social Sciences (rank: 276, publications: 95)
pzi32	Soledad Zignago	Bank of France (rank: 277, publications: 63)
pca304	Lisa Cameron	Institute of Labor Economics (IZA); Monash University -> Monash Business School -> Department of Econometrics and Business Statistics; Massachusetts Institute of Technology (MIT) -> Abdul Latif Jameel Poverty Action Lab (J-PAL) (rank: 278, publications: 62)
ptr29	IULIA SIEDSCHLAG	Trinity College Dublin -> Department of Economics; Economic and Social Research Institute (ESRI) (rank: 279, publications: 92)
pst365	Nancy Stokey	University of Chicago -> Department of Economics (rank: 28, publications: 47)
pli678	Audrey Light	Ohio State University -> Department of Economics (rank: 280, publications: 40)
pco112	Virginie Coudert	University of Paris West-Nanterre -> EconomiX; French Center in International Economics; Bank of France (rank: 282, publications: 104)
pda227	Betty C. Daniel	State University of New York-Albany (SUNY) -> Department of Economics (rank: 283, publications: 52)
ptr17	Antonella Trigari	Bocconi University -> Ettore Bocconi Department of Economics; Bocconi University -> Innocenzo Gasparini Institute for Economic Research (IGIER); Rodolfo DeBenedetti Foundation; Bocconi University -> BAFFI CAREFIN Centre for Applied Research on International Markets, Money Banking and Regulation (rank: 284, publications: 31)
pgr213	Erica Lynn Groshen	Federal Reserve Bank of New York (rank: 285, publications: 61)
pho166	Elke Holst	German Institute for Economic Research (DIW) -> Research Infrastructure ""Socio-Economic Panel (SOEP)"" (rank: 286, publications: 152)
pse535	Juliana Seminerio	Harvard University -> Harvard School of Public Health -> Department of Global Health and Population (rank: 287, publications: 34)
psc13	Stacey Schreft	Government of the United States -> Department of the Treasury -> Office of Financial Research (rank: 288, publications: 58)
pre144	Katrin Rehdanz	University of Kiel -> Department of Economics; Kiel Institute for the World Economy (rank: 289, publications: 126)
pto286	Petra Elisabeth Todd	University of Pennsylvania -> Department of Economics -> Center for Analytic Research and Economics in the Social Sciences (CARESS) (rank: 29, publications: 74)
pha536	Kathleen Weiss Hanley	Lehigh University -> College of Business and Economics (rank: 290, publications: 13)
pfr67	Rachel M. Friedberg	Brown University -> Economics Department (rank: 291, publications: 11)
pma1323	Catherine L. Mann	Brandeis University -> Department of Economics, International Business School (rank: 292, publications: 59)
pzu2	Lynne Zucker	National Bureau of Economic Research (NBER) (rank: 293, publications: 41)
psu116	Holly Sutherland	University of Essex -> Institute for Social and Economic Research (ISER) (rank: 294, publications: 138)
pbe347	Raquel Bernal	University of the Andes -> Department of Economics -> Center of Studies on Economic Development; University of the Andes -> Department of Economics (rank: 295, publications: 36)
pkl18	Bettina Klaus	University of Lausanne -> Business School; University of Lausanne -> Business School -> Department of Econometrics and Economics (rank: 296, publications: 148)
pca757	Elizabeth U. Cascio	Dartmouth College -> Economics Department (rank: 297, publications: 37)
ped9	Lena Edlund	Columbia University -> School of Arts and Sciences -> Department of Economics (rank: 298, publications: 24)
pve43	Clara Vega	Federal Reserve Board (Board of Governors of the Federal Reserve System); University of Rochester -> William E. Simon Graduate School of Business Administration (rank: 299, publications: 22)
pcu13	Janet Currie	Princeton University -> Department of Economics; Institute of Labor Economics (IZA); National Bureau of Economic Research (NBER); Princeton University -> Woodrow Wilson School of Public and International Affairs (rank: 3, publications: 226)
pgo256	Linda S. Goldberg	Federal Reserve Bank of New York -> Research and Statistics Group (rank: 30, publications: 181)
pho570	Elizabeth Hoffman	Iowa State University -> Department of Economics (rank: 300, publications: 36)
psw14	Deborah L. Swenson	University of California-Davis -> Economics Department (rank: 301, publications: 35)
pgr151	Kathryn Graddy	Brandeis University -> Department of Economics, International Business School (rank: 302, publications: 64)
ppo83	Susan Pozo	Western Michigan University -> Department of Economics (rank: 303, publications: 55)
pgr93	Shoshana Grossbard	Institute of Labor Economics (IZA); CESifo; San Diego State University -> Department of Economics (rank: 304, publications: 58)
pko295	Ivana Komunjer	University of California-San Diego (UCSD) -> Department of Economics (rank: 305, publications: 47)
